fid,id_plot,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire,pointeur,tablette
"89","9",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,?,2024/09/17 16:36:51,,,
"90","9",10,intact,0 - Aucune blessure,3 - Arbre étêté,0 - Arbre droit,,,,?,2024/09/17 16:38:42,,,
"91","8",30,vivant,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Kwashikwashi tiki,2024/09/17 17:02:37,,,
"92","8",15,vivant,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Palmier,2024/09/17 17:04:59,,,
"93","8",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Mamate,2024/09/17 17:05:47,,,
"94","8",10,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Kobe,2024/09/17 17:06:37,,,
"95","8",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Mao rouge ,2024/09/17 17:07:23,,,
"96","8",15,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:08:19,,,
"97","8",35,mort,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:09:10,,,
"98","8",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Amourette ,2024/09/17 17:09:51,,,
"99","8",35,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Yayamasou kwata é,2024/09/17 17:10:22,,,
"100","8",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Yamboka,2024/09/17 17:11:40,,,
"101","8",20,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Yamboka,2024/09/17 17:13:30,,,
"102","8",80,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,true,true,Angélique ,2024/09/17 17:14:25,,,
"103","8",25,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Mariacongo,2024/09/17 17:16:20,,,
"104","8",75,intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Tocebe,2024/09/17 17:17:23,,,
